Date,BFCIUS Index,PCUSEQTR Index,OPCVTPCR Index,TRADCADS Index,SUM INX Index,SPXVOLC Index,RVOL Index,COR3M Index,CMDIBASS Index,EUR Curncy,MOVE Index,OPCVTOTC Index,OPCVNQP Index,GFSIFFND Index,GFSIRMKT Index,GFSIRSOL Index,GFSIRLIQ Index,NWHLNYHI Index,NWHLNDHI Index,TRADPAUS Index,HFRXED Index,NEIXCTA Index,HFRXEH Index,NQBUY Index,H15X10YR Index
12/20/2021,0.57,0.47,0.749,85209,-267.57,2417.49,19.92,37.2,267.56,1.1279,77.02,19389.869,1133.605,0.34,-0.07,-0.19,-0.01,7,14,44.65,1754.9,2444.568,1470.44,1746.375,-0.96
12/17/2021,0.708,0.59,0.714,85553,-104.09,4539.53,19.56,35.52,271.42,1.124,72.46,27377.73,1545.541,0.34,-0.18,-0.22,0.03,36,36,44.05,1766.29,2455.243,1476.13,1770.263,-0.97
12/16/2021,0.836,0.55,0.622,85799,-26.97,2696.64,19.24,29.75,268.25,1.133,69.1,25728.789,1265.044,0.31,-0.24,-0.23,-0.01,97,45,46.58,1768.15,2455.8,1476.97,1780.721,-0.98
12/15/2021,0.741,0.59,0.71,85762,36.2,2530.05,19.04,29.01,263.22,1.1289,74.06,23771.529,1266.478,0.28,-0.14,-0.23,-0.02,59,42,46.37,1767.89,2461.319,1482.5,1784.857,-0.92
12/14/2021,0.744,0.6,0.787,85453,100.52,2436.68,18.32,35.07,268.38,1.1259,78.98,18391.93,1154.974,0.31,-0.11,-0.21,-0.05,23,19,45.17,1770.04,2459.826,1473.09,1765.643,-0.93
12/13/2021,0.849,0.56,0.727,85637,242.52,2391.09,18.2,32.82,269.83,1.1284,76.41,20382.359,1083.869,0.22,-0.16,-0.22,-0.02,74,34,46.21,1776.68,2457.853,1480.4,1776.457,-0.98
12/10/2021,0.919,0.61,0.7,85777,332.92,2100.24,17.95,28.71,269.37,1.1313,74.36,24177.869,1308.392,0.2,-0.18,-0.22,-0.04,49,37,49.69,1785.22,2455.195,1484.94,1793.41,-0.96
12/9/2021,0.847,0.53,0.733,85569,365.77,1967.27,17.84,30.09,270.4,1.1293,79.54,18989.15,1171.513,0.18,-0.1,-0.21,-0.02,38,38,49.66,1788.93,2457.455,1483.81,1787.533,-0.98
12/8/2021,0.903,0.45,0.577,85830,397.25,2146.99,17.68,27.78,269.71,1.1343,80.29,22533.16,977.503,0.19,-0.08,-0.21,0.02,71,39,51.58,1786.7,2461.208,1485.68,1806.807,-1
12/7/2021,0.759,0.43,0.669,85712,341.87,2449.04,17.88,30.15,269.82,1.1267,88.14,23625.52,1248.806,0.19,-0.03,-0.2,0.06,75,55,51.41,1786.61,2472.597,1484.17,1801.662,-0.99
12/6/2021,0.41,0.54,0.764,85346,326.5,2577.29,16.48,35.57,267.14,1.1285,87.89,21539,1333.895,0.18,0.07,-0.14,0.06,47,30,48.2,1779.33,2462.601,1469.96,1763.565,-1.01
12/3/2021,0.306,0.74,1.01,84985,427.61,2683.25,15.96,37.6,268.54,1.1315,79.14,25972.711,2116.429,0.17,0.14,-0.09,0.03,22,17,43.43,1784.54,2449.27,1466.76,1741.144,-1.08
12/2/2021,0.461,0.62,0.846,85094,646.46,2791.19,15.74,37.13,269.6,1.1301,82.55,22950.881,1633.574,0.15,0.12,-0.12,0.08,11,17,45.78,1786.24,2448.392,1472.71,1754.157,-1.03
12/1/2021,0.677,0.52,0.728,84683,815.37,3036.84,14.98,41.51,271.16,1.132,82.97,29959.199,1823.352,0.12,0.14,-0.1,0.1,24,43,40.07,1788.37,2441.7,1467.24,1711.546,-1.01
11/30/2021,0.614,0.48,0.698,84987,1110.5,4020.92,14.37,37.26,271.57,1.1338,84.04,26378.061,1480.706,0.1,0.19,-0.09,0.15,15,31,42.83,1790.92,2440.658,1469.78,1739.211,-1.07
11/29/2021,0.72,0.42,0.675,85478,1371.69,2483,13.11,30.68,273.71,1.1291,89.41,23322.381,1209.473,0.07,0.02,-0.13,0.2,25,49,48.65,1796.4,2475.574,1478.28,1784.623,-1.02
11/26/2021,0.494,0.56,0.839,85302,1557.94,2128.37,9.75,39.8,270.75,1.1317,89.45,20106.779,1402.861,0.04,0.14,-0.1,0.18,9,21,55.84,1795.38,2466.751,1474.92,1769.465,-1.07
11/24/2021,1.007,0.5,0.683,85757,1792.1,1841.53,6.63,25.1,277.48,1.1199,83.15,19994.17,1072.552,0.01,-0.22,-0.22,0.13,53,63,55.75,1804.77,2557.688,1489.41,1820.912,-0.97
11/23/2021,1.028,0.53,0.68,85774,1921.69,2214.51,6.76,25.82,275.97,1.1248,80.57,24397.33,1343.627,-0.01,-0.23,-0.23,0.13,46,72,56.05,1805.15,2550.433,1485.09,1814.187,-0.95
11/22/2021,1.111,0.4,0.6,85651,2086.7,2414.92,6.73,27.82,273.12,1.1237,79.21,30564.5,1454.291,-0.02,-0.25,-0.27,0.13,109,146,55.31,1807.85,2541.352,1486.54,1810.144,-0.98
11/19/2021,1.127,0.42,0.597,85589,2260.06,2422.99,6.88,26.71,270.08,1.129,73.39,31807.539,1380.588,0,-0.27,-0.27,0.09,72,104,57.52,1809.29,2528.772,1489.73,1805.972,-1.11
11/18/2021,1.169,0.45,0.529,85750,2437.85,2213.35,6.9,26.56,265.53,1.1371,74.51,30174.711,1193.182,0.02,-0.3,-0.29,0.07,86,115,57.34,1815.98,2535.815,1493.05,1815.413,-1.14
11/17/2021,1.169,0.45,0.516,85920,2577.73,2048.25,6.92,28.05,267.09,1.1319,81.58,28420.1,1095.28,0.01,-0.28,-0.29,0.09,70,121,58.23,1816.4,2539.1,1494.42,1815.897,-1.1
11/16/2021,1.204,0.44,0.487,86097,2672.17,1921.51,7.37,27.05,269.85,1.132,81.58,26563.779,961.555,0.02,-0.27,-0.31,0.06,128,154,60.57,1820.46,2547.709,1496.97,1824.768,-1.1
11/15/2021,1.146,0.42,0.518,86068,2707.99,1816.28,7.37,26.81,273.54,1.1368,81.59,25413.15,950.803,0.03,-0.26,-0.31,0.05,118,131,62.08,1818.23,2537.052,1495.96,1824.526,-1.13
11/12/2021,1.208,0.47,0.5,86008,2721.78,1864.08,7.8,27.49,274.44,1.1445,78.61,30200.08,1102.597,0.02,-0.26,-0.31,-0.02,109,141,62.83,1812.83,2535.895,1501.37,1816.344,-1.15
11/10/2021,1.167,0.48,0.607,85776,2704.86,2129.39,9.41,29.8,270.14,1.1479,78.31,28695.631,1445.989,0.01,-0.27,-0.32,-0.04,100,100,62.2,1813.56,2523.644,1493.2,1796.654,-1.14
11/9/2021,1.128,0.44,0.478,85888,2713.91,2058.38,9,26.38,274.05,1.1593,73.02,30120.721,1244.444,-0.01,-0.32,-0.32,-0.03,125,126,64.18,1814.49,2512.435,1499.05,1810.22,-1.17
11/8/2021,1.195,0.36,0.438,85881,2642.49,2190.97,9.26,26.63,270.79,1.1587,70.97,31661.561,1125.929,0,-0.34,-0.34,-0.04,197,224,64.25,1815.55,2518.146,1499.43,1811.842,-1.11
11/5/2021,1.251,0.44,0.511,85829,2538.82,2586.96,9.28,25.39,267.08,1.1567,66.9,36476,1434.92,0.02,-0.39,-0.32,-0.03,233,311,64.35,1818.04,2511.911,1496.94,1804.076,-1.09
11/4/2021,1.298,0.39,0.49,85678,2428.51,2539.56,9.65,24.82,272.46,1.1554,64.61,32791.52,1299.952,0.05,-0.41,-0.31,-0.01,188,231,60.88,1819.61,2513.712,1496.47,1793.51,-1.03
11/3/2021,1.26,0.39,0.454,85754,2355.36,2129.83,9.65,26.9,275.18,1.1612,71.22,31608.17,1169.81,0.08,-0.34,-0.29,-0.04,196,236,62.6,1816.34,2530.761,1493.07,1801.454,-0.93
11/2/2021,1.247,0.37,0.474,85579,2240.81,2133.49,9.98,29.73,274.55,1.1579,71.04,24580.619,969.962,0.07,-0.35,-0.27,0.04,152,191,60.18,1813.03,2538.587,1490.18,1790.419,-0.95
11/1/2021,1.23,0.4,0.497,85501,2164.97,2009.15,10.75,30.64,276.42,1.1606,78.34,26118.109,1004.888,0.09,-0.28,-0.26,0.02,152,219,61.62,1809.93,2547.325,1490.23,1781.657,-0.92
10/29/2021,1.253,0.46,0.557,85329,2052.72,2320.4,11.35,31.81,277.18,1.1558,75.45,28309.131,1280.678,0.12,-0.26,-0.27,0.04,112,130,58.15,1809.64,2534.959,1487.69,1769.935,-0.96
