"XLK","XLV","XLY","XLF","XLI","XLP","XLU","XLB","XLE"
40.121685,64.441017,75.038948,17.371111,48.305614,42.459824,35.840061,40.122612,52.507259
40.480152,65.814026,75.381851,17.609169,48.86639,42.715195,35.881016,40.370712,53.734447
40.691559,65.579163,75.669136,17.638023,48.901985,42.510902,35.987514,40.530212,55.108295
40.737522,65.290108,75.177956,17.587524,48.768459,42.33213,36.175926,40.264381,54.614326
40.618027,65.082352,75.446709,17.659664,48.830776,42.32362,35.864632,40.060577,54.151234
40.755909,64.811363,75.455963,17.840014,48.830776,41.863956,34.611256,40.166912,53.873375
40.360661,64.314575,74.41803,17.645237,48.45694,41.583046,34.701359,39.89222,53.34082
40.094101,64.748138,75.12236,17.724586,48.44804,41.693714,35.012665,39.599808,53.456596
40.075714,64.106789,74.677521,17.66688,48.510349,41.634113,35.315765,39.644112,52.32201
39.726444,62.995731,73.982468,17.399963,47.851662,41.0723,34.979889,38.846622,51.1334
38.945145,62.84219,72.036293,17.255686,47.638035,40.714771,34.84882,39.342838,50.925007
39.54261,63.628075,72.90741,17.464888,48.252205,41.412792,35.438644,39.847908,52.623028
39.551796,63.899048,73.046448,17.428822,48.154297,41.395779,34.799667,39.803604,52.044155
40.149254,65.145576,74.297554,17.739023,48.821869,41.966095,35.020855,40.512493,52.900875
40.333088,64.052612,74.390244,17.76787,49.035503,42.076771,35.397682,40.468185,52.190804
40.627224,64.6036,75.279907,17.796728,49.284729,41.778835,35.545143,40.344128,51.63509
40.388245,64.441017,75.557938,17.724586,49.035503,42.144863,35.217468,40.397301,52.00555
40.397423,64.639732,75.400375,17.674097,48.955387,42.255527,35.168312,40.734009,53.116993
